Feature,Importance
number_inpatient,0.083503716
discharge_disposition_id,0.079943776
diabetesMed,0.037611693
number_emergency,0.03269507
diag_1,0.032044485
number_diagnoses,0.03151502
glyburide-metformin,0.03116222
metformin,0.030660143
insulin,0.028703552
time_in_hospital,0.028591245
diag_3,0.028435143
age,0.028020782
A1Cresult,0.02799614
num_lab_procedures,0.02743573
gender,0.026339052
